bin,bank,type,length
621327,ZYB,DC,19
621330,BOC,DC,19
621331,BOC,DC,19
621332,BOC,DC,19
621336,ABC,DC,19
621337,ZYB,DC,19
621338,MTBANK,DC,19
621340,LANGFB,DC,16
621341,LANGFB,DC,16
621345,NDHB,DC,18
621346001,ERB,DC,19
621346002,WHBANK,DC,19
621347001,YZBANK,DC,16
621347002,YZBANK,DC,16
621347003,YZBANK,DC,16
621351,SPDB,DC,16
621352,SPDB,DC,16
621353,XHCZYH,DC,19
621356,BOCFCB,DC,19
621359,NCB,DC,18
621361,WHRCB,DC,19
621362,NMGNXS,DC,19
621363,CZRCB,DC,19
621366,HRXJB,DC,19
621384,QLCZYH,DC,19
621388,HRXJB,DC,19
621390,SPDB,DC,16
621392,NYCB,DC,18
621412,LZCCB,DC,18
621413,ZJKCCB,DC,19
621415,FDB,DC,19
621416,SRBANK,DC,16
621417,NXBANK,DC,19
621418,NBBANK,DC,19
621419,QDCCB,DC,19
621420,BJBANK,DC,16
621439,BOD,DC,19
621446,CSCB,DC,19
621448,CABANK,DC,19
621449,LNRCC,DC,19
621452,TCCB,DC,18
621453,BOHAIB,DC,16
621456,GLBANK,DC,17
621457,SCRCU,DC,19
621458,BOHN,DC,19
621459,SCRCU,DC,19
621460,ZYCBANK,DC,19
621461,BOSZ,DC,19
621462,GDB,DC,19
621463,GCB,DC,19
621465,CRCBANK,DC,16
621466,CCB,DC,16
621467,CCB,DC,19
621468,BJBANK,DC,16
621469,GHB,DC,19
621476,ICBC,DC,19
621480,ZJTLCB,DC,19
621481,RXCB,DC,19
621482,CDCB,DC,19
621483,CMB,DC,16
621485,CMB,DC,16
621486,CMB,DC,16
621488,CCB,DC,16
621489,CEB,DC,16
621490,CEB,DC,16
621491,CEB,DC,16
621492,CEB,DC,16
621496,LZYH,DC,19
621497,QJCCB,DC,16
621498,LSCCB,DC,19
621499,CCB,DC,16
621516,CDRCB,DC,19
621517,QHRC,DC,16
621518,GDRCC,DC,19
621519,HNRCC,DC,19
621520,GSRCU,DC,19
621521,SDRCU,DC,16
621522,GRCB,DC,18
621523,HURCB,DC,16
621525,XJRCU,DC,16
621526,ARCU,DC,19
621528,CRCBANK,DC,16
621529,NXBANK,DC,19
621530,SCRCU,DC,19
621531,JLRCU,DC,19
621532,CDCB,DC,19
621533,NMGNXS,DC,19
621536,BOHN,DC,19
621538,LZYH,DC,19
621539,HNRCC,DC,19
621552,GYCB,DC,19
621557,HLJRCU,DC,19
621558,ICBC,DC,19
621559,ICBC,DC,19
621562,GLBANK,DC,19
621566,SXRCCU,DC,19
621568,BOC,DC,19
621569,BOC,DC,19
621577,HRBANK,DC,19
621578,JSRCU,DC,19
621579,JSBANK,DC,19
621580,SXRCU,DC,19
621582,PSBC,DC,19
621585,HNRCU,DC,18
621588,DAQINGB,DC,19
621589,FJNX,DC,19
621590,GZRCU,DC,19
621591,ZYCBANK,DC,16
621598,CCB,DC,19
621599,PSBC,DC,19
621600,XMBANK,DC,19
621619,ABC,DC,19
621620,BOC,DC,19
621621,CCB,DC,19
621625,GHB,DC,19
621626,SPABANK,DC,19
621627,CZCB,DC,19
621628,SDEB,DC,19
621633,H3CB,DC,19
621660,BOC,DC,19
621661,BOC,DC,19
621662,BOC,DC,19
621663,BOC,DC,19
621666,BOC,DC,19
621667,BOC,DC,19
